Dates,logret_rep,logret_dem,SPX Index,Party
11/4/81,0.003207644,-0.006609241,-0.000480885,0
11/5/81,-0.008118542,-0.011658832,-0.009666581,0
11/6/81,-0.000715694,1.40E-05,-0.007067167,0
11/9/81,0.01475797,0.007149788,0.005041481,0
11/10/81,-0.010447871,0.003957554,-0.004796952,0
11/11/81,0.007866931,0.009478079,0.001791386,0
11/12/81,0.003944126,0.008952074,0.002194142,0
11/13/81,-0.010783559,-0.013446231,-0.012415417,0
11/16/81,-0.013030135,-0.013874172,-0.011822716,0
11/17/81,0.010989809,0.00724317,0.007539702,0
11/18/81,-0.014077601,0.001888328,-0.007373382,0
11/19/81,-0.0078469,-0.004155813,0.003734909,0
11/20/81,0.000510129,0.017635271,0.008250191,0
11/23/81,-0.002658688,-0.005085702,-0.000904196,0
11/24/81,0.04068148,0.005439553,0.015585155,0
11/25/81,0.005042392,0.001091727,0.004362586,0
11/26/81,0,0,0,0
11/27/81,0.014825987,0.004695516,0.008348768,0
11/30/81,-0.000939008,0.003558236,0.010022356,0
12/1/81,-0.005037538,0.009159363,-0.001980591,0
12/2/81,-0.014896717,-0.005498823,-0.011244586,0
12/3/81,0.007321838,-0.001123236,0.00344262,0
12/4/81,0.011818555,0.013517342,0.009069996,0
12/7/81,-0.009641025,-0.003657935,-0.00851069,0
12/8/81,0.000342528,-0.004528422,-0.002959884,0
12/9/81,0.007975583,0.002166302,0.005273684,0
12/10/81,0.015892492,0.004772827,0.001831284,0
12/11/81,-0.003717884,-0.000920883,-0.006224086,0
12/14/81,-0.009871368,-0.013739942,-0.017359444,0
12/15/81,-0.01511648,-0.00699084,0.001708915,0
12/16/81,-0.014130729,-0.003030293,-0.004645296,0
12/17/81,0.005593199,0.00884194,0.005701734,0
12/18/81,-0.003489157,0.004357669,0.007122076,0
12/21/81,-0.012801937,-0.000274471,-0.005336796,0
12/22/81,-0.010075861,-0.005383915,-0.0037365,0
12/23/81,0.00067629,-0.008690956,-0.004649464,0
12/24/81,0.009092943,0.004398121,0.001878702,0
12/25/81,0,0,0,0
12/28/81,-0.001481339,-0.002221077,-0.002205793,0
12/29/81,0.009790022,-0.003430505,-0.004919252,0
12/30/81,0.001963318,-0.001325567,0.005164581,0
12/31/81,-0.004363338,0.00439137,0.002042067,0
1/1/82,0,0,0,0
1/4/82,-0.006432282,0.007722036,0.001549187,0
1/5/82,-0.032212293,-0.013839248,-0.022159974,0
1/6/82,-0.012033174,-0.00862045,-0.007273367,0
1/7/82,-0.000716,-0.000608078,-0.002099871,0
1/8/82,-0.000954131,0.015622691,0.005199609,0
1/11/82,-0.027970899,-0.019162955,-0.023442871,0
1/12/82,-0.007936427,0.00104131,-0.004118763,0
1/13/82,-0.023276692,-0.010962518,-0.012284954,0
1/14/82,0.015470471,-0.001039663,0.005728685,0
1/15/82,0.02106571,0.005158855,0.006814189,0
1/18/82,0.012012586,0.01536659,0.007621531,0
1/19/82,-0.013039099,0.000652378,-0.010720974,0
1/20/82,-0.019902077,-0.001497475,-0.006054334,0
1/21/82,0.007290009,0.004294039,0.00415549,0
1/22/82,-0.011427489,-0.014311467,-0.003201664,0
1/25/82,0.002672765,-0.002825156,0.000259977,0
1/26/82,-0.011458967,0.005322032,-0.001908066,0
1/27/82,0.002723964,0.000395266,-0.00043416,0
1/28/82,0.0335188,0.01876341,0.032302219,0
1/29/82,0.007427548,0.012680425,0.012368535,0
2/1/82,-0.032818607,-0.004995047,-0.022001055,0
2/2/82,-0.015055948,0.002231067,0.001950889,0
2/3/82,-0.01966046,-0.005622937,-0.013049782,0
2/4/82,0.011505848,0.000243259,-0.000515243,0
2/5/82,0.004455583,0.012690276,0.00718935,0
2/8/82,-0.033485135,-0.024074558,-0.022684141,0
2/9/82,-0.018934963,-0.010623954,-0.008322066,0
2/10/82,0.018896387,-0.000983391,0.008583744,0
2/11/82,0.013627093,-7.53E-05,-0.002007945,0
2/12/82,-0.003499248,0.007097019,-0.000437044,0
2/15/82,0,0,0,0
2/16/82,-0.00096356,-0.001151779,-0.002801613,0
2/17/82,-0.009069364,-0.002792389,-0.00324918,0
2/18/82,0.004335182,0.001896333,0.001142807,0
2/19/82,-0.004527053,0.000547076,-0.005285425,0
2/22/82,-0.024138962,-0.009747156,-0.014501388,0
2/23/82,0.01617494,-0.004218883,-0.000717167,0
2/24/82,0.010998738,0.004184859,0.017424212,0
2/25/82,-0.00085685,0.00945907,-0.002293984,0
2/26/82,-0.002621052,-0.001292551,-0.000883705,0
3/1/82,-0.009126053,0.005049638,0.001766629,0
3/2/82,-0.020068811,0.008109411,-0.005575482,0
3/3/82,-0.025108307,-0.015549976,-0.015742722,0
3/4/82,-0.007166433,-0.004487324,-0.00942036,0
3/5/82,-0.000759877,-0.003923823,-0.004926568,0
3/8/82,-0.016654157,-0.006735176,-0.018460927,0
3/9/82,0.016273985,0.011278831,0.013785665,0
3/10/82,0.000505526,0.000215847,0.005315262,0
3/11/82,-0.003219496,-0.002647822,-0.000457101,0
3/12/82,0.00151626,-0.015061437,-0.006881708,0
3/15/82,0.018177424,-0.001700382,0.00770434,0
3/16/82,-0.008265739,-6.97E-05,-0.001554428,0
3/17/82,-0.012197949,0.003026324,-0.001831838,0
3/18/82,0.012470152,0.010829971,0.011122368,0
3/19/82,-0.002562387,0.023215266,0.002806575,0
3/22/82,0.022619791,0.020048584,0.019339845,0
3/23/82,0.016520232,0.007507268,0.006892922,0
3/24/82,0.001982633,0.012032332,-0.005120972,0
3/25/82,-0.009906153,-0.00312669,0.002122204,0
3/26/82,-0.012566991,0.002793237,-0.011281488,0
3/29/82,0.00191976,0.004730605,0.003210848,0
3/30/82,-0.00577208,-0.001344325,-0.000267177,0
3/31/82,0.000860923,-0.004489609,-0.00276502,0
4/1/82,0.022980128,0.009730995,0.01621298,0
4/2/82,0.018920564,0.000485179,0.011620418,0
4/5/82,-0.008972732,-0.006070497,-0.003393521,0
4/6/82,0.001350352,0.002376854,0.005476132,0
4/7/82,-0.005733181,0.006927112,0.000866476,0
4/8/82,0.011239795,0.011962693,0.006560797,0
4/9/82,0,0,0,0
4/12/82,-0.011913629,0.002137888,-0.001894756,0
