Dates,EXC,F,APTV,STZ,EL,SPWR,CO,WMT,HD,NEE,CSX,MCD,SPG,FSLR,NSC,Party
1974-09-17,0.20151931,0.00189625,,,,,,0.016639637,,0.230395302,,0.011050838,,,,0
1974-09-18,0.196481287,0.001908405,,,,,,0.017069962,,0.236302897,,0.011286962,,,,0
1974-09-19,0.20151931,0.001944871,,,,,,0.016783081,,0.252056509,,0.011523101,,,,0
1974-09-20,0.214114219,0.001944871,,,,,,0.016639637,,0.259933144,,0.011286962,,,,0
1974-09-23,0.206557259,0.001926639,,,,,,0.016639637,,0.261902511,,0.011050838,,,,0
1974-09-24,0.206557259,0.001908405,,,,,,0.016926514,,0.265840709,,0.010625805,,,,0
1974-09-25,0.204038471,0.00184155,,,,,,0.016926514,,0.255994856,,0.010295228,,,,0
1974-09-26,0.206557259,0.001811162,,,,,,0.016926514,,0.252056509,,0.010011871,,,,0
1974-09-27,0.204038471,0.001786851,,,,,,0.016639637,,0.257964045,,0.00949239,,,,0
1974-09-30,0.206557259,0.001792928,,,,,,0.016209288,,0.255994856,,0.009303485,,,,0
1974-10-01,0.199000344,0.001811162,,,,,,0.014774834,,0.254025757,,0.009681292,,,,0
1974-10-02,0.204038471,0.001811162,,,,,,0.01420106,,0.255994856,,0.009350705,,,,0
1974-10-03,0.204038471,0.001738229,,,,,,0.013770732,,0.255994856,,0.009256262,,,,0
1974-10-04,0.204038471,0.001707841,,,,,,0.013196947,,0.255994856,,0.008028385,,,,0
1974-10-07,0.204038471,0.001744307,,,,,,0.012766617,,0.26387167,,0.008878452,,,,0
1974-10-08,0.20907633,0.001640986,,,,,,0.012623168,,0.261902511,,0.008831221,,,,0
1974-10-09,0.219152227,0.001683529,,,,,,0.013053506,,0.285532594,,0.009728518,,,,0
1974-10-10,0.231747329,0.001707841,,,,,,0.0146314,,0.305224508,,0.010059102,,,,0
1974-10-11,0.236785278,0.001750383,,,,,,0.014918292,,0.295378745,,0.010767489,,,,0
1974-10-14,0.244342208,0.001786851,,,,,,0.015492065,,0.307193696,,0.011475875,,,,0
1974-10-15,0.244342208,0.00176254,,,,,,0.015205186,,0.299316883,,0.011286962,,,,0
1974-10-16,0.234266251,0.001732151,,,,,,0.015205186,,0.293409318,,0.011381422,,,,0
1974-10-17,0.234266251,0.001726074,,,,,,0.015205186,,0.28947112,,0.011759227,,,,0
1974-10-18,0.234266251,0.001719997,,,,,,0.015205186,,0.273717433,,0.012137034,,,,0
1974-10-21,0.231747329,0.001634907,,,,,,0.015205186,,0.259933144,,0.013176,,,,0
1974-10-22,0.231747329,0.001598442,,,,,,0.014487961,,0.259933144,,0.012845419,,,,0
1974-10-23,0.221671313,0.001531587,,,,,,0.014057616,,0.255994856,,0.012089808,,,,0
1974-10-24,0.21663329,0.001525508,,,,,,0.013483838,,0.255994856,,0.011948125,,,,0
1974-10-25,0.21663329,0.001503053,,,,,,0.013340386,,0.255994856,,0.012184261,,,,0
1974-10-28,0.221671313,0.001459396,,,,,,0.013340386,,0.254025757,,0.012373162,,,,0
1974-10-29,0.221671313,0.001571657,,,,,,0.013340386,,0.26387167,,0.012656519,,,,0
1974-10-30,0.221671313,0.00160284,,,,,,0.014057616,,0.269778997,,0.013412122,,,,0
1974-10-31,0.219152227,0.001609078,,,,,,0.01420106,,0.275686681,,0.013317684,,,,0
1974-11-01,0.219152227,0.001590368,,,,,,0.0146314,,0.273717433,,0.013270454,,,,0
1974-11-04,0.22419028,0.001559185,,,,,,0.0146314,,0.271748275,,0.012845419,,,,0
1974-11-05,0.22419028,0.001590368,,,,,,0.014774834,,0.2776559,,0.013931606,,,,0
1974-11-06,0.22419028,0.001658972,,,,,,0.014057616,,0.281594217,,0.013648257,,,,0
1974-11-07,0.229228169,0.001727575,,,,,,0.013770732,,0.287501752,,0.01473445,,,,0
1974-11-08,0.229959935,0.001721338,,,,,,0.012049383,,0.28947112,,0.014640011,,,,0
1974-11-11,0.224733636,0.001696391,,,,,,0.011905937,,0.283563495,,0.014545556,,,,0
1974-11-12,0.222120494,0.001665208,,,,,,0.011905937,,0.273717433,,0.013506578,,,,0
1974-11-13,0.222120494,0.001652735,,,,,,0.011762493,,0.271748275,,0.013270454,,,,0
1974-11-14,0.216894001,0.00164026,,,,,,0.012049383,,0.271748275,,0.012845419,,,,0
1974-11-15,0.216894001,0.00156542,,,,,,0.012049383,,0.2776559,,0.012562069,,,,0
1974-11-18,0.209054545,0.001515526,,,,,,0.012049383,,0.273717433,,0.011995366,,,,0
1974-11-19,0.214280874,0.001534237,,,,,,0.011475607,,0.271748275,,0.011428644,,,,0
1974-11-20,0.211667672,0.001528,,,,,,0.011475607,,0.259933144,,0.011617558,,,,0
1974-11-21,0.209054545,0.001534237,,,,,,0.011475607,,0.265840709,,0.012231478,,,,0
1974-11-22,0.211667672,0.00154671,,,,,,0.011475607,,0.26387167,,0.012373162,,,,0
1974-11-25,0.209054545,0.001528,,,,,,0.011332162,,0.265840709,,0.012656519,,,,0
1974-11-26,0.209054545,0.00154671,,,,,,0.011332162,,0.257964045,,0.013128769,,,,0
1974-11-27,0.209054545,0.001559185,,,,,,0.011475607,,0.261902511,,0.01308155,,,,0
1974-11-28,0.209054545,0.001559185,,,,,,0.011475607,,0.261902511,,0.01308155,,,,0
1974-11-29,0.211667672,0.001540473,,,,,,0.011475607,,0.261902511,,0.012798197,,,,0
1974-12-02,0.209054545,0.001521763,,,,,,0.011045273,,0.254025757,,0.012137034,,,,0
1974-12-03,0.209054545,0.00150929,,,,,,0.010614933,,0.240241319,,0.012467612,,,,0
1974-12-04,0.211667672,0.001521763,,,,,,0.010758382,,0.238272175,,0.012562069,,,,0
1974-12-05,0.209054545,0.001521763,,,,,,0.010758382,,0.236302897,,0.011712,,,,0
1974-12-06,0.203828052,0.001503053,,,,,,0.010328046,,0.238272175,,0.011428644,,,,0
1974-12-09,0.206441343,0.001528,,,,,,0.009610816,,0.238272175,,0.011995366,,,,0
1974-12-10,0.206441343,0.001596603,,,,,,0.009180484,,0.244179592,,0.012373162,,,,0
1974-12-11,0.206441343,0.001627789,,,,,,0.009180484,,0.248118073,,0.012373162,,,,0
1974-12-12,0.206441343,0.001658972,,,,,,0.010041161,,0.248118073,,0.011948125,,,,0
1974-12-13,0.206441343,0.001646498,,,,,,0.010041161,,0.248118073,,0.012184261,,,,0
1974-12-16,0.198601753,0.001671444,,,,,,0.009754267,,0.248118073,,0.012278714,,,,0
1974-12-17,0.201214984,0.001683918,,,,,,0.010328046,,0.248118073,,0.012231478,,,,0
1974-12-18,0.198601753,0.001702629,,,,,,0.011475607,,0.250087112,,0.011570331,,,,0
1974-12-19,0.201214984,0.001702629,,,,,,0.011905937,,0.252056509,,0.011428644,,,,0
1974-12-20,0.203828052,0.001677681,,,,,,0.011905937,,0.254025757,,0.01015355,,,,0
1974-12-23,0.201214984,0.001658972,,,,,,0.011475607,,0.244179592,,0.010673041,,,,0
1974-12-24,0.201214984,0.001677681,,,,,,0.011475607,,0.246148959,,0.010861937,,,,0
1974-12-25,0.201214984,0.001677681,,,,,,0.011475607,,0.246148959,,0.010861937,,,,0
1974-12-26,0.201214984,0.001708865,,,,,,0.011475607,,0.242210418,,0.011098068,,,,0
1974-12-27,0.201214984,0.001671444,,,,,,0.011475607,,0.242210418,,0.010861937,,,,0
1974-12-30,0.206441343,0.001658972,,,,,,0.010614933,,0.240241319,,0.010767489,,,,0
1974-12-31,0.227346823,0.001665208,,,,,,0.010901822,,0.244179592,,0.011098068,,,,0
1975-01-01,0.227346823,0.001665208,,,,,,0.010901822,,0.244179592,,0.011098068,,,,0
1975-01-02,0.248252094,0.001690155,,,,,,0.011475607,,0.254025757,,0.011192524,,,,0
1975-01-03,0.25870496,0.001715101,,,,,,0.011332162,,0.273717433,,0.011192524,,,,0
1975-01-06,0.253478438,0.00175876,,,,,,0.011762493,,0.303255409,,0.011145286,,,,0
1975-01-07,0.248252094,0.00174005,,,,,,0.011905937,,0.297347814,,0.010861937,,,,0
1975-01-08,0.240412593,0.001733812,,,,,,0.012910065,,0.295378745,,0.01015355,,,,0
1975-01-09,0.237799525,0.001821127,,,,,,0.013627289,,0.307193696,,0.011098068,,,,0
1975-01-10,0.25086537,0.0018336,,,,,,0.015061728,,0.309163034,,0.010861937,,,,0
1975-01-13,0.25086537,0.001821127,,,,,,0.014918292,,0.309163034,,0.010531357,,,,0
1975-01-14,0.25086537,0.001808654,,,,,,0.015492065,,0.303255409,,0.010531357,,,,0
1975-01-15,0.253478438,0.001821127,,,,,,0.0146314,,0.301286131,,0.011523101,,,,0
1975-01-16,0.25870496,0.001821127,,,,,,0.015492065,,0.297347814,,0.011003611,,,,0
1975-01-17,0.25086537,0.001789943,,,,,,0.014344502,,0.295378745,,0.010673041,,,,0
1975-01-20,0.256091833,0.001783707,,,,,,0.013914166,,0.293409318,,0.011098068,,,,0
1975-01-21,0.256091833,0.00177747,,,,,,0.014057616,,0.295378745,,0.010861937,,,,0
1975-01-22,0.261318028,0.00179618,,,,,,0.014057616,,0.293409318,,0.011003611,,,,0
1975-01-23,0.25870496,0.001783707,,,,,,0.015348625,,0.291440248,,0.011239743,,,,0
1975-01-24,0.261318028,0.00183729,,,,,,0.015492065,,0.291440248,,0.011523101,,,,0
