Dates,HON,AMZN,GOOG,CVX,COP,FB,MRO,MRK,C,PYPL,CRM,AXP,QCOM,V,GILD,Party
1974-08-14,0.428572834,,,0.085081153,,,0.318760186,0.305128366,,,,0.182374313,,,,0
1974-08-15,0.434525281,,,0.085927784,,,0.318760186,0.307619125,,,,0.173478082,,,,0
1974-08-16,0.427084625,,,0.084657855,,,0.319657892,0.298901439,,,,0.1601336,,,,0
1974-08-19,0.422620416,,,0.083811238,,,0.318760186,0.292051524,,,,0.166360974,,,,0
1974-08-20,0.424108893,,,0.083811238,,,0.323249429,0.293919712,,,,0.177926198,,,,0
1974-08-21,0.418156087,,,0.081271581,,,0.318760186,0.293296903,,,,0.181484878,,,,0
1974-08-22,0.41071558,,,0.080425002,,,0.316964149,0.291428953,,,,0.173478082,,,,0
1974-08-23,0.403275132,,,0.080848247,,,0.316964149,0.287069827,,,,0.176146969,,,,0
1974-08-26,0.41071558,,,0.081271581,,,0.315168381,0.293919712,,,,0.186822534,,,,0
1974-08-27,0.397322655,,,0.080848247,,,0.307087094,0.294542402,,,,0.18949154,,,,0
1974-08-28,0.388394237,,,0.080848247,,,0.300801814,0.295787632,,,,0.186822534,,,,0
1974-08-29,0.386906356,,,0.07830853,,,0.293618411,0.303260446,,,,0.177926198,,,,0
1974-08-30,0.392858297,,,0.082964703,,,0.303495198,0.318166167,,,,0.19038102,,,,0
1974-09-02,0.392858297,,,0.082964703,,,0.303495198,0.318166167,,,,0.19038102,,,,0
1974-09-03,0.392858297,,,0.083811238,,,0.299005896,0.306892514,,,,0.172588512,,,,0
1974-09-04,0.38095367,,,0.080848247,,,0.294516355,0.301882029,,,,0.167250574,,,,0
1974-09-05,0.392858297,,,0.083388038,,,0.30618912,0.310650438,,,,0.177926198,,,,0
1974-09-06,0.394346595,,,0.086774357,,,0.313372552,0.310650438,,,,0.171698794,,,,0
1974-09-09,0.389882535,,,0.083388038,,,0.31067881,0.300003171,,,,0.157464728,,,,0
1974-09-10,0.383929998,,,0.082541429,,,0.309780955,0.293113619,,,,0.157464728,,,,0
1974-09-11,0.369048774,,,0.081694826,,,0.30618912,0.291861057,,,,0.154795781,,,,0
1974-09-12,0.372025102,,,0.079578415,,,0.304393321,0.262424439,,,,0.148568407,,,,0
1974-09-13,0.351191819,,,0.07830853,,,0.297210008,0.245513871,,,,0.134334341,,,,0
1974-09-16,0.343751311,,,0.079155125,,,0.298107773,0.259292692,,,,0.144120336,,,,0
1974-09-17,0.345238924,,,0.081694826,,,0.301699638,0.277455986,,,,0.153016567,,,,0
1974-09-18,0.351191819,,,0.080001667,,,0.301699638,0.280587256,,,,0.164581865,,,,0
1974-09-19,0.360120207,,,0.081271581,,,0.308882862,0.29436633,,,,0.168140233,,,,0
1974-09-20,0.352679968,,,0.079578415,,,0.312474549,0.288729459,,,,0.164581865,,,,0
1974-09-23,0.348215491,,,0.078731798,,,0.317862064,0.27808243,,,,0.157464728,,,,0
1974-09-24,0.340774924,,,0.077038653,,,0.316066325,0.269940197,,,,0.153016567,,,,0
1974-09-25,0.337798804,,,0.077885278,,,0.315168381,0.271192819,,,,0.153016567,,,,0
1974-09-26,0.337798804,,,0.076192111,,,0.308882862,0.269313753,,,,0.140561759,,,,0
1974-09-27,0.333334446,,,0.074922197,,,0.291822612,0.255535066,,,,0.138782561,,,,0
1974-09-30,0.321429849,,,0.074498974,,,0.276557982,0.251777023,,,,0.133444726,,,,0
1974-10-01,0.313989192,,,0.07280577,,,0.264884859,0.250524521,,,,0.133444726,,,,0
1974-10-02,0.31994158,,,0.071112625,,,0.260395557,0.251150668,,,,0.133444726,,,,0
1974-10-03,0.299108148,,,0.068996161,,,0.258599758,0.249898285,,,,0.125438035,,,,0
1974-10-04,0.29017964,,,0.073229089,,,0.267578781,0.255535066,,,,0.127217293,,,,0
1974-10-07,0.294643968,,,0.077885278,,,0.278353781,0.266808748,,,,0.137892842,,,,0
1974-10-08,0.299108148,,,0.077885278,,,0.276557982,0.262424439,,,,0.134334341,,,,0
1974-10-09,0.330358297,,,0.081271581,,,0.290924639,0.277455986,,,,0.138782561,,,,0
1974-10-10,0.372025102,,,0.082118139,,,0.295414209,0.286850542,,,,0.140561759,,,,0
1974-10-11,0.385417879,,,0.080001667,,,0.296312094,0.298124105,,,,0.134334341,,,,0
1974-10-14,0.395834655,,,0.082541429,,,0.299005896,0.303760856,,,,0.146789223,,,,0
1974-10-15,0.398810893,,,0.081271581,,,0.288230985,0.308145106,,,,0.145009875,,,,0
1974-10-16,0.375001162,,,0.080001667,,,0.287332892,0.296871603,,,,0.144120336,,,,0
1974-10-17,0.369048774,,,0.081271581,,,0.298107773,0.293113619,,,,0.142340958,,,,0
1974-10-18,0.395834655,,,0.084657855,,,0.301699638,0.296871603,,,,0.138782561,,,,0
1974-10-21,0.400298893,,,0.085504495,,,0.303495198,0.316913724,,,,0.151237324,,,,0
1974-10-22,0.395834655,,,0.084234633,,,0.290924639,0.316913724,,,,0.162802503,,,,0
1974-10-23,0.369048774,,,0.081271581,,,0.280149549,0.305639863,,,,0.1601336,,,,0
1974-10-24,0.349703491,,,0.080001667,,,0.278353781,0.306892514,,,,0.162802503,,,,0
1974-10-25,0.360120207,,,0.080425002,,,0.279251695,0.296245068,,,,0.170809135,,,,0
1974-10-28,0.369048774,,,0.079578415,,,0.280149549,0.301882029,,,,0.162802503,,,,0
1974-10-29,0.375001162,,,0.081271581,,,0.299005896,0.323176473,,,,0.173478082,,,,0
1974-10-30,0.366072774,,,0.085081153,,,0.303495198,0.333197683,,,,0.19127062,,,,0
1974-10-31,0.375001162,,,0.084657855,,,0.303495198,0.330692261,,,,0.198387802,,,,0
1974-11-01,0.376489371,,,0.086385541,,,0.30058077,0.328187019,,,,0.20016706,,,,0
1974-11-04,0.371356577,,,0.085521676,,,0.290561795,0.319418728,,,,0.195719004,,,,0
1974-11-05,0.392490953,,,0.085953735,,,0.291472286,0.340087026,,,,0.212621823,,,,0
1974-11-06,0.38947168,,,0.08465784,,,0.291472286,0.339460611,,,,0.207284033,,,,0
1974-11-07,0.409096032,,,0.083794035,,,0.282363743,0.353239447,,,,0.211732194,,,,0
1974-11-08,0.413624704,,,0.08163438,,,0.276898623,0.356997401,,,,0.204615161,,,,0
1974-11-11,0.413624704,,,0.08163438,,,0.27780962,0.359502703,,,,0.209063247,,,,0
1974-11-12,0.400038719,,,0.081202492,,,0.269611984,0.355118424,,,,0.195719004,,,,0
1974-11-13,0.394000322,,,0.079906672,,,0.278720468,0.34822914,,,,0.197498113,,,,0
1974-11-14,0.390980959,,,0.07861086,,,0.280542105,0.340713412,,,,0.199277416,,,,0
1974-11-15,0.401548117,,,0.07861086,,,0.276898623,0.325681746,,,,0.193939611,,,,0
1974-11-18,0.38947168,,,0.076451212,,,0.268701047,0.308145106,,,,0.177926198,,,,0
1974-11-19,0.380414069,,,0.074291572,,,0.264146864,0.302508354,,,,0.17525734,,,,0
1974-11-20,0.374375731,,,0.073427767,,,0.270522773,0.304387361,,,,0.177926198,,,,0
1974-11-21,0.375885189,,,0.074291572,,,0.275076985,0.317539871,,,,0.181484878,,,,0
1974-11-22,0.377394915,,,0.073427767,,,0.276898623,0.323176473,,,,0.188601762,,,,0
1974-11-25,0.380414069,,,0.073859699,,,0.275076985,0.330692261,,,,0.182374313,,,,0
1974-11-26,0.384942979,,,0.074291572,,,0.282363743,0.330065995,,,,0.194829136,,,,0
